image,image features
1000268201_693b08cb0e.jpg,[0.        0.        0.        ... 6.4703054 0.        0.       ]
1001773457_577c3a7d70.jpg,[0.         0.         0.44072393 ... 0.         0.         0.        ]
1002674143_1b742ab4b8.jpg,[0. 0. 0. ... 0. 0. 0.]
1003163366_44323f5815.jpg,[0.        0.        5.0317507 ... 0.        0.        0.       ]
1007129816_e794419615.jpg,[0. 0. 0. ... 0. 0. 0.]
1007320043_627395c3d8.jpg,[0. 0. 0. ... 0. 0. 0.]
1009434119_febe49276a.jpg,[0.        0.        0.2812454 ... 0.        0.        0.       ]
1012212859_01547e3f17.jpg,[0. 0. 0. ... 0. 0. 0.]
1015118661_980735411b.jpg,[0. 0. 0. ... 0. 0. 0.]
1015584366_dfcec3c85a.jpg,[0. 0. 0. ... 0. 0. 0.]
101654506_8eb26cfb60.jpg,[0. 0. 0. ... 0. 0. 0.]
101669240_b2d3e7f17b.jpg,[0. 0. 0. ... 0. 0. 0.]
1016887272_03199f49c4.jpg,[0.       0.       0.       ... 0.       0.       9.385321]
1019077836_6fc9b15408.jpg,[0. 0. 0. ... 0. 0. 0.]
1019604187_d087bf9a5f.jpg,[0.        1.4947791 0.        ... 0.        0.        0.       ]
1020651753_06077ec457.jpg,[0.         0.         0.         ... 0.         0.         0.79402006]
1022454332_6af2c1449a.jpg,[0.        0.        1.1446202 ... 0.        0.        0.       ]
1022454428_b6b660a67b.jpg,[0. 0. 0. ... 0. 0. 0.]
1022975728_75515238d8.jpg,[0. 0. 0. ... 0. 0. 0.]
102351840_323e3de834.jpg,[0.        0.        0.4063846 ... 0.        0.        0.       ]
1024138940_f1fefbdce1.jpg,[0.        0.        3.9276571 ... 0.        0.        0.       ]
102455176_5f8ead62d5.jpg,[0. 0. 0. ... 0. 0. 0.]
1026685415_0431cbf574.jpg,[0. 0. 0. ... 0. 0. 0.]
1028205764_7e8df9a2ea.jpg,[0.        0.        0.        ... 6.6567745 0.        0.       ]
1030985833_b0902ea560.jpg,[0. 0. 0. ... 0. 0. 0.]
103106960_e8a41d64f8.jpg,[0.        0.        2.8348303 ... 0.        0.        0.       ]
103195344_5d2dc613a3.jpg,[0.       0.       4.2788   ... 0.       0.       4.064592]
103205630_682ca7285b.jpg,[0. 0. 0. ... 0. 0. 0.]
1032122270_ea6f0beedb.jpg,[0.        0.        0.        ... 0.        0.        1.2093865]
1032460886_4a598ed535.jpg,[0.       0.       4.152601 ... 0.       0.       0.      ]
1034276567_49bb87c51c.jpg,[0. 0. 0. ... 0. 0. 0.]
104136873_5b5d41be75.jpg,[0. 0. 0. ... 0. 0. 0.]
1042020065_fb3d3ba5ba.jpg,[0. 0. 0. ... 0. 0. 0.]
1042590306_95dea0916c.jpg,[0.        0.        0.        ... 0.5379221 0.        0.       ]
1045521051_108ebc19be.jpg,[0.         3.9670932  0.         ... 0.41460744 0.         0.        ]
1048710776_bb5b0a5c7c.jpg,[0.         0.         0.36725298 ... 0.         0.         0.        ]
1052358063_eae6744153.jpg,[0.        0.        4.5652843 ... 0.        0.        0.       ]
105342180_4d4a40b47f.jpg,[0. 0. 0. ... 0. 0. 0.]
1053804096_ad278b25f1.jpg,[0.        0.        1.1816623 ... 0.        0.        0.       ]
1055623002_8195a43714.jpg,[0. 0. 0. ... 0. 0. 0.]
1055753357_4fa3d8d693.jpg,[0.       0.       2.280243 ... 0.       0.       0.      ]
1056249424_ef2a2e041c.jpg,[0. 0. 0. ... 0. 0. 0.]
1056338697_4f7d7ce270.jpg,[0.17919113 0.7134598  0.         ... 0.         0.         0.        ]
1056359656_662cee0814.jpg,[0.         0.08357826 0.         ... 0.         0.         0.        ]
1056873310_49c665eb22.jpg,[0.        0.        2.1824467 ... 0.        0.        0.       ]
1057089366_ca83da0877.jpg,[0. 0. 0. ... 0. 0. 0.]
1057210460_09c6f4c6c1.jpg,[0.         0.         0.04093593 ... 0.         0.         0.        ]
1057251835_6ded4ada9c.jpg,[0.      0.      4.74815 ... 0.      0.      0.     ]
106490881_5a2dd9b7bd.jpg,[0. 0. 0. ... 0. 0. 0.]
106514190_bae200f463.jpg,[0.         0.         0.03945985 ... 0.         0.         0.        ]
1067180831_a59dc64344.jpg,[0. 0. 0. ... 0. 0. 0.]
1067675215_7336a694d6.jpg,[0.        0.        0.        ... 1.0619678 0.        0.       ]
1067790824_f3cc97239b.jpg,[0. 0. 0. ... 0. 0. 0.]
1072153132_53d2bb1b60.jpg,[0.         0.         0.42783174 ... 0.         0.         0.        ]
107318069_e9f2ef32de.jpg,[0. 0. 0. ... 0. 0. 0.]
1075716537_62105738b4.jpg,[0. 0. 0. ... 0. 0. 0.]
107582366_d86f2d3347.jpg,[0. 0. 0. ... 0. 0. 0.]
1075867198_27ca2e7efe.jpg,[0.       0.       2.424985 ... 0.       0.       0.      ]
1075881101_d55c46bece.jpg,[0.      2.00498 0.      ... 0.      0.      0.     ]
1077546505_a4f6c4daa9.jpg,[0.        0.        0.        ... 2.0397737 0.        0.       ]
1077931201_1e0bb83105.jpg,[0. 0. 0. ... 0. 0. 0.]
1079274291_9aaf896cc1.jpg,[3.7439392 0.        0.        ... 5.71461   0.        0.       ]
10815824_2997e03d76.jpg,[0. 0. 0. ... 0. 0. 0.]
1082252566_8c79beef93.jpg,[0. 0. 0. ... 0. 0. 0.]
1082379191_ec1e53f996.jpg,[0.        0.        0.        ... 1.6022199 0.        0.       ]
1084040636_97d9633581.jpg,[0. 0. 0. ... 0. 0. 0.]
1084104085_3b06223afe.jpg,[5.543896  0.        0.        ... 2.4624462 0.        0.       ]
1087168168_70280d024a.jpg,[0. 0. 0. ... 0. 0. 0.]
1087539207_9f77ab3aaf.jpg,[0.        0.        0.        ... 0.        0.        5.5742846]
1088767354_2acee738cf.jpg,[0.        0.        0.        ... 3.4031525 0.        0.       ]
108898978_7713be88fc.jpg,[0.         0.         0.         ... 0.16195549 0.         0.        ]
108899015_bf36131a57.jpg,[0. 0. 0. ... 0. 0. 0.]
1089181217_ee1167f7af.jpg,[0. 0. 0. ... 0. 0. 0.]
1089755335_0bfbfd30e6.jpg,[0.        0.        0.        ... 1.3185507 0.        0.       ]
109202756_b97fcdc62c.jpg,[0.       0.       0.       ... 3.614279 0.       0.      ]
109202801_c6381eef15.jpg,[0.       0.       0.       ... 6.637294 0.       0.      ]
109260216_85b0be5378.jpg,[0. 0. 0. ... 0. 0. 0.]
109260218_fca831f933.jpg,[0.        0.        0.        ... 0.        0.        0.3722527]
1093716555_801aacef79.jpg,[0. 0. 0. ... 0. 0. 0.]
1093737381_b313cd49ff.jpg,[0. 0. 0. ... 0. 0. 0.]
1094462889_f9966dafa6.jpg,[0.        0.        0.7195984 ... 0.        0.        0.       ]
1095476286_87d4f8664e.jpg,[0. 0. 0. ... 0. 0. 0.]
1095580424_76f0aa8a3e.jpg,[0.         0.         0.         ... 0.         0.73896223 0.        ]
1095590286_c654f7e5a9.jpg,[0.         0.         0.34656566 ... 0.         0.         0.        ]
1095980313_3c94799968.jpg,[0.         0.         0.20474169 ... 0.         0.         0.        ]
1096097967_ac305887b4.jpg,[0. 0. 0. ... 0. 0. 0.]
1096165011_cc5eb16aa6.jpg,[0. 0. 0. ... 0. 0. 0.]
1096395242_fc69f0ae5a.jpg,[0.        3.1970663 1.6902552 ... 5.0443554 0.        0.       ]
109671650_f7bbc297fa.jpg,[0.         0.         0.13468045 ... 0.         0.         0.        ]
109738763_90541ef30d.jpg,[0. 0. 0. ... 0. 0. 0.]
109738916_236dc456ac.jpg,[0. 0. 0. ... 0. 0. 0.]
109823394_83fcb735e1.jpg,[0. 0. 0. ... 0. 0. 0.]
109823395_6fb423a90f.jpg,[0. 0. 0. ... 0. 0. 0.]
109823397_e35154645f.jpg,[0.        0.        0.        ... 0.        0.4844691 0.       ]
1100214449_d10861e633.jpg,[0.        0.        0.        ... 1.1137556 0.        0.       ]
1104133405_c04a00707f.jpg,[0.         0.         0.         ... 0.         0.         0.11664807]
1105959054_9c3a738096.jpg,[0. 0. 0. ... 0. 0. 0.]
110595925_f3395c8bd6.jpg,[0.         0.         0.74261063 ... 0.         0.         0.        ]
1107246521_d16a476380.jpg,[0. 0. 0. ... 0. 0. 0.]
1107471216_4336c9b328.jpg,[1.8149034 0.        0.        ... 0.        0.        0.       ]
1110208841_5bb6806afe.jpg,[0. 0. 0. ... 0. 0. 0.]
1112212364_0c48235fc2.jpg,[0.       0.       5.235524 ... 0.       0.       0.      ]
111497985_38e9f88856.jpg,[0. 0. 0. ... 0. 0. 0.]
111537217_082a4ba060.jpg,[0.        0.        0.        ... 0.        7.6130486 0.       ]
111537222_07e56d5a30.jpg,[0. 0. 0. ... 0. 0. 0.]
1115565519_d976d4b1f1.jpg,[0. 0. 0. ... 0. 0. 0.]
1115679311_245eff2f4b.jpg,[0.        0.        3.7451193 ... 0.        0.        0.       ]
111766423_4522d36e56.jpg,[5.4787006 0.        0.        ... 0.        0.        0.       ]
1117972841_2b9261f95f.jpg,[0. 0. 0. ... 0. 0. 0.]
1118557877_736f339752.jpg,[0. 0. 0. ... 0. 0. 0.]
1119015538_e8e796281e.jpg,[0. 0. 0. ... 0. 0. 0.]
1119418776_58e4b93eac.jpg,[0.         0.         0.59945625 ... 0.         0.         0.        ]
1119463452_69d4eecd08.jpg,[0.        0.        0.        ... 0.7601443 0.        0.       ]
1121416483_c7902d0d49.jpg,[0. 0. 0. ... 0. 0. 0.]
112178718_87270d9b4d.jpg,[0.        0.        1.3629801 ... 0.        0.        0.       ]
112243673_fd68255217.jpg,[0.         0.         0.89481324 ... 0.         0.         0.6927674 ]
1122944218_8eb3607403.jpg,[0. 0. 0. ... 0. 0. 0.]
1124448967_2221af8dc5.jpg,[0.        0.        2.2567332 ... 0.        0.        0.       ]
1129704496_4a61441f2c.jpg,[0. 0. 0. ... 0. 0. 0.]
1130017585_1a219257ac.jpg,[0.        0.        1.6977426 ... 1.2057952 0.        0.       ]
1130369873_d80a1aa59c.jpg,[0.        0.        0.        ... 0.        0.6289347 0.       ]
1130401779_8c30182e3e.jpg,[0. 0. 0. ... 0. 0. 0.]
1131155939_b4b457b05e.jpg,[0.       0.       2.513367 ... 0.       0.       0.      ]
1131340021_83f46b150a.jpg,[0.         0.         0.82507664 ... 1.0304369  0.         0.        ]
1131800850_89c7ffd477.jpg,[0. 0. 0. ... 0. 0. 0.]
1131804997_177c3c0640.jpg,[0.       0.       7.684965 ... 0.       0.       0.      ]
