image,image features
1000268201_693b08cb0e.jpg,"tensor([0.5538, 0.4766, 0.7293,  ..., 0.4251, 0.5288, 0.3874])"
1001773457_577c3a7d70.jpg,"tensor([0.5319, 0.4066, 0.7863,  ..., 0.4995, 0.4823, 0.3987])"
1002674143_1b742ab4b8.jpg,"tensor([0.5280, 0.4895, 0.8124,  ..., 0.4945, 0.5347, 0.4344])"
1003163366_44323f5815.jpg,"tensor([0.5413, 0.4511, 0.7811,  ..., 0.4530, 0.5550, 0.3873])"
1007129816_e794419615.jpg,"tensor([0.5427, 0.4294, 0.7297,  ..., 0.4275, 0.4962, 0.4061])"
1007320043_627395c3d8.jpg,"tensor([0.5376, 0.4388, 0.6731,  ..., 0.4467, 0.5302, 0.4003])"
1009434119_febe49276a.jpg,"tensor([0.5301, 0.3946, 0.8082,  ..., 0.4640, 0.5280, 0.3767])"
1012212859_01547e3f17.jpg,"tensor([0.5348, 0.4781, 0.7710,  ..., 0.4338, 0.5125, 0.3831])"
1015118661_980735411b.jpg,"tensor([0.5394, 0.4172, 0.6879,  ..., 0.4960, 0.4881, 0.4164])"
1015584366_dfcec3c85a.jpg,"tensor([0.4972, 0.4621, 0.7102,  ..., 0.4102, 0.5151, 0.3308])"
101654506_8eb26cfb60.jpg,"tensor([0.5300, 0.4199, 0.7500,  ..., 0.3893, 0.5076, 0.3795])"
101669240_b2d3e7f17b.jpg,"tensor([0.5885, 0.4657, 0.7414,  ..., 0.4690, 0.5447, 0.3794])"
1016887272_03199f49c4.jpg,"tensor([0.5720, 0.3940, 0.7768,  ..., 0.4654, 0.5434, 0.4348])"
1019077836_6fc9b15408.jpg,"tensor([0.5168, 0.4108, 0.8214,  ..., 0.4372, 0.5318, 0.3912])"
1019604187_d087bf9a5f.jpg,"tensor([0.5185, 0.4003, 0.7166,  ..., 0.3866, 0.4903, 0.4158])"
1020651753_06077ec457.jpg,"tensor([0.4653, 0.4341, 0.7168,  ..., 0.4272, 0.4908, 0.3899])"
1022454332_6af2c1449a.jpg,"tensor([0.5482, 0.4359, 0.7577,  ..., 0.4316, 0.5198, 0.3531])"
1022454428_b6b660a67b.jpg,"tensor([0.5339, 0.4043, 0.7308,  ..., 0.4156, 0.5063, 0.3904])"
1022975728_75515238d8.jpg,"tensor([0.5148, 0.3946, 0.8220,  ..., 0.4167, 0.5150, 0.3584])"
102351840_323e3de834.jpg,"tensor([0.4815, 0.4840, 0.7827,  ..., 0.4517, 0.4851, 0.3837])"
1024138940_f1fefbdce1.jpg,"tensor([0.5019, 0.4576, 0.7467,  ..., 0.4237, 0.4554, 0.4224])"
102455176_5f8ead62d5.jpg,"tensor([0.5455, 0.3404, 0.7700,  ..., 0.4815, 0.5187, 0.4070])"
1026685415_0431cbf574.jpg,"tensor([0.5359, 0.4526, 0.7167,  ..., 0.4183, 0.5260, 0.4286])"
1028205764_7e8df9a2ea.jpg,"tensor([0.4803, 0.4033, 0.7278,  ..., 0.4103, 0.4825, 0.4151])"
1030985833_b0902ea560.jpg,"tensor([0.5045, 0.4288, 0.8523,  ..., 0.4474, 0.5421, 0.4240])"
103106960_e8a41d64f8.jpg,"tensor([0.5302, 0.3887, 0.7239,  ..., 0.3918, 0.5300, 0.3995])"
103195344_5d2dc613a3.jpg,"tensor([0.5055, 0.4021, 0.7225,  ..., 0.4451, 0.5420, 0.3711])"
103205630_682ca7285b.jpg,"tensor([0.5117, 0.4240, 0.7882,  ..., 0.4546, 0.5156, 0.4425])"
1032122270_ea6f0beedb.jpg,"tensor([0.5311, 0.4513, 0.7296,  ..., 0.4167, 0.4566, 0.3792])"
1032460886_4a598ed535.jpg,"tensor([0.5027, 0.4558, 0.7757,  ..., 0.4578, 0.5672, 0.4440])"
1034276567_49bb87c51c.jpg,"tensor([0.5598, 0.3854, 0.8599,  ..., 0.3969, 0.5314, 0.3819])"
104136873_5b5d41be75.jpg,"tensor([0.5169, 0.4006, 0.8264,  ..., 0.4524, 0.4994, 0.4203])"
1042020065_fb3d3ba5ba.jpg,"tensor([0.5231, 0.4770, 0.9285,  ..., 0.4929, 0.4952, 0.3892])"
1042590306_95dea0916c.jpg,"tensor([0.5275, 0.4474, 0.7918,  ..., 0.4095, 0.4906, 0.3779])"
1045521051_108ebc19be.jpg,"tensor([0.4882, 0.4576, 0.7299,  ..., 0.4404, 0.5173, 0.4060])"
1048710776_bb5b0a5c7c.jpg,"tensor([0.5529, 0.4742, 0.7932,  ..., 0.4425, 0.5159, 0.3577])"
1052358063_eae6744153.jpg,"tensor([0.5242, 0.4229, 0.6872,  ..., 0.4236, 0.5061, 0.3687])"
105342180_4d4a40b47f.jpg,"tensor([0.5151, 0.4517, 0.7341,  ..., 0.3993, 0.5376, 0.4130])"
1053804096_ad278b25f1.jpg,"tensor([0.5276, 0.4021, 0.6889,  ..., 0.4571, 0.4649, 0.3820])"
1055623002_8195a43714.jpg,"tensor([0.5184, 0.4399, 0.7375,  ..., 0.4359, 0.4987, 0.3577])"
1055753357_4fa3d8d693.jpg,"tensor([0.4878, 0.4431, 0.6993,  ..., 0.4696, 0.4397, 0.3881])"
1056249424_ef2a2e041c.jpg,"tensor([0.6236, 0.4043, 0.8112,  ..., 0.4887, 0.5363, 0.4125])"
1056338697_4f7d7ce270.jpg,"tensor([0.5281, 0.4379, 0.6851,  ..., 0.4763, 0.4354, 0.3686])"
1056359656_662cee0814.jpg,"tensor([0.5054, 0.4287, 0.7720,  ..., 0.4180, 0.5740, 0.4003])"
1056873310_49c665eb22.jpg,"tensor([0.5372, 0.4323, 0.7477,  ..., 0.4491, 0.5400, 0.3791])"
1057089366_ca83da0877.jpg,"tensor([0.5227, 0.4435, 0.6895,  ..., 0.4571, 0.5453, 0.4283])"
1057210460_09c6f4c6c1.jpg,"tensor([0.6010, 0.4498, 0.7751,  ..., 0.4657, 0.4835, 0.3961])"
1057251835_6ded4ada9c.jpg,"tensor([0.5665, 0.3987, 0.7777,  ..., 0.4467, 0.5031, 0.3871])"
106490881_5a2dd9b7bd.jpg,"tensor([0.5109, 0.4926, 0.6731,  ..., 0.4676, 0.4512, 0.3735])"
106514190_bae200f463.jpg,"tensor([0.6039, 0.4150, 0.7161,  ..., 0.4529, 0.5110, 0.3740])"
1067180831_a59dc64344.jpg,"tensor([0.5206, 0.4145, 0.6732,  ..., 0.4451, 0.4949, 0.3687])"
1067675215_7336a694d6.jpg,"tensor([0.5069, 0.5005, 0.6708,  ..., 0.4798, 0.5085, 0.3933])"
1067790824_f3cc97239b.jpg,"tensor([0.5426, 0.3936, 0.7210,  ..., 0.4587, 0.4906, 0.3998])"
1072153132_53d2bb1b60.jpg,"tensor([0.5914, 0.4474, 0.7718,  ..., 0.4141, 0.5084, 0.4135])"
107318069_e9f2ef32de.jpg,"tensor([0.5073, 0.4145, 0.7567,  ..., 0.4893, 0.4529, 0.3844])"
1075716537_62105738b4.jpg,"tensor([0.5703, 0.4189, 0.7445,  ..., 0.4317, 0.5377, 0.4266])"
107582366_d86f2d3347.jpg,"tensor([0.5342, 0.4124, 0.7597,  ..., 0.4226, 0.5381, 0.3796])"
1075867198_27ca2e7efe.jpg,"tensor([0.5116, 0.3934, 0.6830,  ..., 0.3987, 0.5173, 0.3839])"
1075881101_d55c46bece.jpg,"tensor([0.5539, 0.4814, 0.7294,  ..., 0.4067, 0.5293, 0.3635])"
1077546505_a4f6c4daa9.jpg,"tensor([0.5094, 0.4549, 0.7732,  ..., 0.4625, 0.5812, 0.3971])"
1077931201_1e0bb83105.jpg,"tensor([0.5264, 0.4645, 0.7194,  ..., 0.3976, 0.5014, 0.3558])"
1079274291_9aaf896cc1.jpg,"tensor([0.5487, 0.3646, 0.7991,  ..., 0.4410, 0.5266, 0.3811])"
10815824_2997e03d76.jpg,"tensor([0.4850, 0.3698, 0.7860,  ..., 0.4193, 0.5156, 0.4437])"
1082252566_8c79beef93.jpg,"tensor([0.5389, 0.4378, 0.7380,  ..., 0.4274, 0.4982, 0.4146])"
1082379191_ec1e53f996.jpg,"tensor([0.4970, 0.4006, 0.7621,  ..., 0.4261, 0.5670, 0.4287])"
1084040636_97d9633581.jpg,"tensor([0.5343, 0.4128, 0.8018,  ..., 0.4313, 0.5024, 0.4115])"
1084104085_3b06223afe.jpg,"tensor([0.5393, 0.4279, 0.6692,  ..., 0.4368, 0.5548, 0.3501])"
1087168168_70280d024a.jpg,"tensor([0.5326, 0.4484, 0.7351,  ..., 0.4191, 0.5404, 0.3940])"
1087539207_9f77ab3aaf.jpg,"tensor([0.4614, 0.4121, 0.7972,  ..., 0.4263, 0.5463, 0.3968])"
1088767354_2acee738cf.jpg,"tensor([0.5350, 0.4136, 0.8506,  ..., 0.4438, 0.5156, 0.3877])"
108898978_7713be88fc.jpg,"tensor([0.5709, 0.4431, 0.6580,  ..., 0.3390, 0.5540, 0.4050])"
108899015_bf36131a57.jpg,"tensor([0.5530, 0.4050, 0.7899,  ..., 0.3914, 0.5364, 0.3744])"
1089181217_ee1167f7af.jpg,"tensor([0.5228, 0.3919, 0.8329,  ..., 0.4124, 0.5721, 0.4802])"
