image,image features
1000268201_693b08cb0e.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
1001773457_577c3a7d70.jpg,"tensor([0.0000, 1.0916, 0.0000,  ..., 0.0000, 0.0000, 0.0000])"
1002674143_1b742ab4b8.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.3014, 2.7992, 0.0000])"
1003163366_44323f5815.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
1007129816_e794419615.jpg,"tensor([1.0434, 0.0000, 2.0204,  ..., 0.9825, 0.0525, 0.0000])"
1007320043_627395c3d8.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 0.1742, 0.1032])"
1009434119_febe49276a.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.5869, 0.0000, 0.0000])"
1012212859_01547e3f17.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
1015118661_980735411b.jpg,"tensor([0.0000, 0.0000, 0.4270,  ..., 0.0000, 0.0000, 1.1802])"
1015584366_dfcec3c85a.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
101654506_8eb26cfb60.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
101669240_b2d3e7f17b.jpg,"tensor([0.0000, 0.0000, 1.2796,  ..., 2.1579, 0.0000, 0.8323])"
1016887272_03199f49c4.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.8621, 0.1486, 0.7611])"
1019077836_6fc9b15408.jpg,"tensor([0.7632, 0.3974, 0.0000,  ..., 0.0000, 0.0000, 0.0000])"
1019604187_d087bf9a5f.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 1.6208, 0.0000])"
1020651753_06077ec457.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 1.3956, 0.0000])"
1022454332_6af2c1449a.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 0.0000, 0.9550])"
1022454428_b6b660a67b.jpg,"tensor([0.0000, 0.0000, 2.0637,  ..., 0.0000, 0.0000, 0.1579])"
1022975728_75515238d8.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 0.0000, 0.6576])"
102351840_323e3de834.jpg,"tensor([0.0338, 1.4415, 0.0000,  ..., 0.0000, 0.0000, 0.0000])"
1024138940_f1fefbdce1.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
102455176_5f8ead62d5.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.9182, 0.0000, 0.6120])"
1026685415_0431cbf574.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 0.9499, 0.6333])"
1028205764_7e8df9a2ea.jpg,"tensor([0.0000, 1.2013, 0.0000,  ..., 0.0000, 0.0000, 0.0000])"
1030985833_b0902ea560.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 1.1859, 0.0000, 0.0000])"
103106960_e8a41d64f8.jpg,"tensor([0.0000, 0.2781, 0.0000,  ..., 0.0000, 0.0000, 0.0000])"
103195344_5d2dc613a3.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.3210, 0.0000, 0.0000])"
103205630_682ca7285b.jpg,"tensor([0.0000, 0.7198, 0.0734,  ..., 0.0000, 0.6797, 0.6853])"
1032122270_ea6f0beedb.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.3914, 0.0678, 0.0000])"
1032460886_4a598ed535.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
1034276567_49bb87c51c.jpg,"tensor([0.6890, 1.0683, 0.0000,  ..., 0.0000, 0.0000, 0.0000])"
104136873_5b5d41be75.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 0.0000, 0.8634])"
1042020065_fb3d3ba5ba.jpg,"tensor([0.0000, 3.4616, 0.0000,  ..., 0.0000, 0.0000, 0.0000])"
1042590306_95dea0916c.jpg,"tensor([0.0000, 0.0000, 1.5977,  ..., 0.0000, 0.0000, 0.0000])"
1045521051_108ebc19be.jpg,"tensor([2.2680, 0.2169, 0.8697,  ..., 0.0000, 0.0000, 1.2188])"
1048710776_bb5b0a5c7c.jpg,"tensor([0.0000, 0.7114, 0.0000,  ..., 0.3615, 0.0000, 0.0000])"
1052358063_eae6744153.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
105342180_4d4a40b47f.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
1053804096_ad278b25f1.jpg,"tensor([0.0000, 1.9231, 0.0000,  ..., 0.0000, 0.0000, 0.0000])"
1055623002_8195a43714.jpg,"tensor([0.0000, 0.0019, 0.0000,  ..., 0.2899, 0.0000, 0.0000])"
1055753357_4fa3d8d693.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.3796, 0.0000, 0.0000])"
1056249424_ef2a2e041c.jpg,"tensor([0.0000, 0.2156, 0.0000,  ..., 0.0000, 0.0000, 1.0857])"
1056338697_4f7d7ce270.jpg,"tensor([0.0000, 0.8054, 0.6947,  ..., 0.0000, 0.0000, 0.1481])"
1056359656_662cee0814.jpg,"tensor([0.0000, 0.7945, 0.0000,  ..., 0.0000, 0.0000, 0.0000])"
1056873310_49c665eb22.jpg,"tensor([0.8225, 0.0000, 0.0000,  ..., 1.1665, 0.0000, 0.0343])"
1057089366_ca83da0877.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
1057210460_09c6f4c6c1.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
1057251835_6ded4ada9c.jpg,"tensor([0.0000, 0.1159, 0.0000,  ..., 0.0000, 0.1832, 0.3965])"
106490881_5a2dd9b7bd.jpg,"tensor([0.0000, 1.9252, 0.0000,  ..., 0.0000, 0.0000, 0.0000])"
106514190_bae200f463.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0667, 1.1231, 2.8543])"
1067180831_a59dc64344.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
1067675215_7336a694d6.jpg,"tensor([0.0000, 0.0000, 0.2219,  ..., 0.0000, 0.0000, 0.0000])"
1067790824_f3cc97239b.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 0.6516, 0.0000])"
1072153132_53d2bb1b60.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 2.1421, 0.0000])"
107318069_e9f2ef32de.jpg,"tensor([1.0590, 0.0000, 0.0000,  ..., 3.8115, 0.0000, 0.5905])"
1075716537_62105738b4.jpg,"tensor([0.0000, 1.4276, 0.0000,  ..., 0.0000, 0.9719, 0.9522])"
107582366_d86f2d3347.jpg,"tensor([0.8242, 0.0000, 0.0000,  ..., 0.8272, 0.0000, 0.0000])"
1075867198_27ca2e7efe.jpg,"tensor([0.9662, 0.1785, 0.0000,  ..., 0.1830, 0.0000, 0.9790])"
1075881101_d55c46bece.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
1077546505_a4f6c4daa9.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
1077931201_1e0bb83105.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.7659, 0.0000, 0.1632])"
1079274291_9aaf896cc1.jpg,"tensor([0.0000, 0.0000, 0.9913,  ..., 0.0000, 0.0000, 0.0000])"
10815824_2997e03d76.jpg,"tensor([1.9042, 0.0000, 0.0000,  ..., 1.3443, 0.0000, 1.4280])"
1082252566_8c79beef93.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 1.1324, 0.0000, 0.0000])"
1082379191_ec1e53f996.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
1084040636_97d9633581.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
1084104085_3b06223afe.jpg,"tensor([0.0000, 0.6351, 0.9200,  ..., 0.2786, 0.0000, 0.0000])"
1087168168_70280d024a.jpg,"tensor([0.0000, 0.0000, 1.0285,  ..., 0.0000, 0.0000, 0.0000])"
1087539207_9f77ab3aaf.jpg,"tensor([0.0000, 1.2207, 0.5644,  ..., 0.0000, 0.0000, 0.0000])"
1088767354_2acee738cf.jpg,"tensor([0.0000, 0.9600, 1.2772,  ..., 0.0000, 0.0000, 0.0000])"
108898978_7713be88fc.jpg,"tensor([0.0000, 0.0000, 1.1063,  ..., 0.6832, 0.0000, 0.6829])"
108899015_bf36131a57.jpg,"tensor([0.0000, 1.0763, 0.0000,  ..., 0.2057, 0.0000, 0.1365])"
1089181217_ee1167f7af.jpg,"tensor([1.1867, 0.0000, 0.0000,  ..., 0.5701, 0.0000, 0.0000])"
1089755335_0bfbfd30e6.jpg,"tensor([2.0457, 1.9852, 0.0000,  ..., 0.0000, 0.0000, 2.1071])"
109202756_b97fcdc62c.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 0.0000, 0.3248])"
109202801_c6381eef15.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 1.4646, 0.0000, 1.9370])"
109260216_85b0be5378.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.4988, 0.3848, 2.5681])"
109260218_fca831f933.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0249, 0.0000, 0.6558])"
1093716555_801aacef79.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 2.1769, 2.1390, 3.4095])"
1093737381_b313cd49ff.jpg,"tensor([0.0000, 1.2283, 0.0000,  ..., 1.2094, 0.0000, 0.0000])"
1094462889_f9966dafa6.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 0.3996, 0.0000])"
1095476286_87d4f8664e.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
1095580424_76f0aa8a3e.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 1.0274, 0.0000, 0.0000])"
1095590286_c654f7e5a9.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
1095980313_3c94799968.jpg,"tensor([0.0000, 0.3676, 0.0000,  ..., 0.0000, 0.0000, 0.2083])"
1096097967_ac305887b4.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0988, 0.0000, 0.0000])"
1096165011_cc5eb16aa6.jpg,"tensor([0.0000, 0.0000, 1.3956,  ..., 0.0000, 0.0000, 0.0000])"
1096395242_fc69f0ae5a.jpg,"tensor([0.0000, 0.8699, 0.0000,  ..., 0.0000, 0.0000, 0.0000])"
109671650_f7bbc297fa.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 0.0000, 0.1453])"
109738763_90541ef30d.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 0.2414, 2.2409])"
109738916_236dc456ac.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 0.0000, 7.0125])"
109823394_83fcb735e1.jpg,"tensor([0.0000, 1.2167, 0.0000,  ..., 0.0000, 3.0727, 0.0580])"
109823395_6fb423a90f.jpg,"tensor([1.4141, 0.0000, 0.0000,  ..., 0.2575, 2.2524, 2.2633])"
109823397_e35154645f.jpg,"tensor([0.1307, 0.0000, 0.0000,  ..., 0.0000, 0.0000, 0.0000])"
1100214449_d10861e633.jpg,"tensor([0.0000, 1.2182, 0.0000,  ..., 0.0000, 0.0000, 0.0000])"
1104133405_c04a00707f.jpg,"tensor([0.0000, 0.0998, 0.0000,  ..., 1.2540, 1.5140, 0.0000])"
1105959054_9c3a738096.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
110595925_f3395c8bd6.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 0.0000, 3.3518])"
1107246521_d16a476380.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.1271, 0.0697, 0.0000])"
1107471216_4336c9b328.jpg,"tensor([0.0000, 0.0000, 0.1499,  ..., 0.0000, 0.0000, 0.0000])"
1110208841_5bb6806afe.jpg,"tensor([0.0000, 0.0111, 0.0000,  ..., 0.8220, 0.0000, 0.0000])"
1112212364_0c48235fc2.jpg,"tensor([0.0000, 1.7217, 0.0000,  ..., 0.0000, 0.0000, 0.8574])"
111497985_38e9f88856.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 0.0000, 2.9672])"
111537217_082a4ba060.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 1.3802, 1.0830, 0.3846])"
