image,image features
1000268201_693b08cb0e.jpg,"tensor([0.0000, 1.7681, 0.0000,  ..., 0.1852, 0.0000, 0.0000])"
1001773457_577c3a7d70.jpg,"tensor([0.8763, 0.0000, 0.0000,  ..., 0.0000, 0.0000, 0.5358])"
1002674143_1b742ab4b8.jpg,"tensor([0.0000, 1.4447, 0.0000,  ..., 0.0697, 0.0000, 0.0000])"
1003163366_44323f5815.jpg,"tensor([0.0000, 0.0000, 0.0727,  ..., 0.0000, 0.0000, 0.7640])"
1007129816_e794419615.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 0.7426, 0.0000])"
1007320043_627395c3d8.jpg,"tensor([1.0438e+00, 0.0000e+00, 0.0000e+00,  ..., 0.0000e+00, 6.6310e-07,
        0.0000e+00])"
1009434119_febe49276a.jpg,"tensor([0.0000, 0.4637, 0.0000,  ..., 0.0000, 0.0000, 0.6812])"
1012212859_01547e3f17.jpg,"tensor([0.0000, 0.7252, 0.0000,  ..., 0.0000, 0.0000, 0.8103])"
1015118661_980735411b.jpg,"tensor([0.0227, 0.4647, 0.0000,  ..., 0.0000, 0.2798, 0.0000])"
1015584366_dfcec3c85a.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
101654506_8eb26cfb60.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.3340, 0.0000, 0.7309])"
101669240_b2d3e7f17b.jpg,"tensor([0.0000, 1.2445, 0.0000,  ..., 1.1299, 0.7170, 0.0000])"
1016887272_03199f49c4.jpg,"tensor([0.0000, 0.3659, 0.0000,  ..., 0.0000, 0.0000, 0.1874])"
1019077836_6fc9b15408.jpg,"tensor([0.4476, 0.8829, 0.0000,  ..., 0.0000, 0.0661, 0.4795])"
1019604187_d087bf9a5f.jpg,"tensor([0.0000, 0.6274, 0.0697,  ..., 0.0000, 0.0000, 0.3044])"
1020651753_06077ec457.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
1022454332_6af2c1449a.jpg,"tensor([0.0000, 0.0000, 0.1152,  ..., 0.0000, 0.0000, 0.6793])"
1022454428_b6b660a67b.jpg,"tensor([0.4053, 0.2013, 0.0000,  ..., 0.5123, 0.2338, 0.0000])"
1022975728_75515238d8.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
102351840_323e3de834.jpg,"tensor([0.3899, 0.8988, 0.0000,  ..., 1.2772, 0.1708, 0.0627])"
1024138940_f1fefbdce1.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 0.0000, 0.0239])"
102455176_5f8ead62d5.jpg,"tensor([0.0000, 0.7663, 0.0000,  ..., 0.0000, 0.0000, 0.0000])"
1026685415_0431cbf574.jpg,"tensor([0.0000, 0.3350, 0.0000,  ..., 0.0000, 0.0000, 0.2807])"
1028205764_7e8df9a2ea.jpg,"tensor([0.8677, 0.8234, 0.0000,  ..., 1.0533, 0.0000, 0.0000])"
1030985833_b0902ea560.jpg,"tensor([0.0000, 0.7748, 0.0000,  ..., 0.0000, 0.0000, 0.0000])"
103106960_e8a41d64f8.jpg,"tensor([0.5724, 0.0000, 0.3627,  ..., 0.0000, 0.5417, 0.0000])"
103195344_5d2dc613a3.jpg,"tensor([0.0842, 0.0000, 0.3441,  ..., 0.0000, 0.5789, 0.0000])"
103205630_682ca7285b.jpg,"tensor([0.2733, 0.9547, 0.0000,  ..., 1.5464, 0.1839, 0.2257])"
1032122270_ea6f0beedb.jpg,"tensor([0.3672, 0.0000, 0.0000,  ..., 0.5042, 0.0000, 0.7502])"
1032460886_4a598ed535.jpg,"tensor([0.0000, 0.0000, 0.3742,  ..., 0.0000, 0.0000, 0.1706])"
1034276567_49bb87c51c.jpg,"tensor([1.1585, 0.0000, 0.0000,  ..., 0.7454, 0.0000, 0.6512])"
104136873_5b5d41be75.jpg,"tensor([0.0000, 1.0751, 0.0000,  ..., 0.0000, 0.0000, 0.0000])"
1042020065_fb3d3ba5ba.jpg,"tensor([0.5043, 1.2553, 0.0000,  ..., 1.1347, 0.4683, 0.0000])"
1042590306_95dea0916c.jpg,"tensor([0.3371, 0.7921, 0.0000,  ..., 0.1549, 0.0000, 0.0000])"
1045521051_108ebc19be.jpg,"tensor([0.6757, 0.0000, 0.0000,  ..., 0.0000, 0.1488, 0.0502])"
1048710776_bb5b0a5c7c.jpg,"tensor([0.0000, 0.0000, 0.1576,  ..., 0.1426, 0.0000, 0.7127])"
1052358063_eae6744153.jpg,"tensor([0.2272, 0.0000, 0.0000,  ..., 0.0000, 0.0000, 0.0000])"
105342180_4d4a40b47f.jpg,"tensor([0.0000, 0.0000, 0.4008,  ..., 0.0000, 1.0729, 0.0000])"
1053804096_ad278b25f1.jpg,"tensor([0.0000, 0.0000, 0.3298,  ..., 0.0000, 0.0860, 0.2751])"
1055623002_8195a43714.jpg,"tensor([0.2169, 0.6596, 0.0000,  ..., 0.0000, 0.0000, 0.1201])"
1055753357_4fa3d8d693.jpg,"tensor([0.2242, 1.5738, 0.0000,  ..., 0.0000, 0.0000, 0.0000])"
1056249424_ef2a2e041c.jpg,"tensor([0.3690, 0.0000, 0.0000,  ..., 0.0000, 0.5808, 0.0915])"
1056338697_4f7d7ce270.jpg,"tensor([0.7264, 1.1109, 0.0851,  ..., 0.2831, 0.0000, 0.0000])"
1056359656_662cee0814.jpg,"tensor([0.5785, 0.2034, 0.0239,  ..., 0.0000, 0.9589, 1.0335])"
1056873310_49c665eb22.jpg,"tensor([0.8534, 1.7205, 0.0000,  ..., 0.7805, 0.0000, 0.0000])"
1057089366_ca83da0877.jpg,"tensor([0.0000, 0.8914, 0.4716,  ..., 0.0000, 0.0000, 0.0000])"
1057210460_09c6f4c6c1.jpg,"tensor([0.0000, 1.2600, 0.0000,  ..., 0.0000, 0.0000, 0.0000])"
