image,image features
1000268201_693b08cb0e.jpg,"tensor([0.0800, 0.1420, 0.6854,  ..., 0.1815, 0.3663, 0.3326])"
1001773457_577c3a7d70.jpg,"tensor([0.6243, 0.6461, 0.1627,  ..., 0.0539, 0.5427, 1.0477])"
1002674143_1b742ab4b8.jpg,"tensor([0.4099, 0.1073, 0.8244,  ..., 0.9549, 0.0845, 0.1717])"
1003163366_44323f5815.jpg,"tensor([0.3899, 0.2959, 0.3583,  ..., 0.8447, 0.2059, 0.1482])"
1007129816_e794419615.jpg,"tensor([0.1974, 0.1284, 0.2174,  ..., 0.3270, 0.3203, 0.3510])"
1007320043_627395c3d8.jpg,"tensor([0.2372, 0.2632, 0.1326,  ..., 0.0277, 1.0534, 0.5187])"
1009434119_febe49276a.jpg,"tensor([0.4144, 1.3350, 1.0406,  ..., 0.2995, 0.5643, 0.4907])"
1012212859_01547e3f17.jpg,"tensor([0.3685, 0.9006, 0.0725,  ..., 0.0423, 0.3105, 0.5735])"
1015118661_980735411b.jpg,"tensor([0.3601, 0.1033, 0.3243,  ..., 0.1391, 0.5637, 0.8448])"
1015584366_dfcec3c85a.jpg,"tensor([0.4444, 0.2364, 0.1863,  ..., 0.2254, 0.5721, 0.3023])"
101654506_8eb26cfb60.jpg,"tensor([0.1056, 0.6408, 0.0552,  ..., 0.1442, 1.2086, 0.4990])"
101669240_b2d3e7f17b.jpg,"tensor([0.0901, 1.2904, 0.1554,  ..., 0.3335, 0.9121, 0.2653])"
1016887272_03199f49c4.jpg,"tensor([0.2745, 0.1307, 0.4776,  ..., 0.6009, 0.1042, 0.3770])"
1019077836_6fc9b15408.jpg,"tensor([0.4770, 0.4165, 0.4175,  ..., 0.5569, 0.2620, 0.4108])"
1019604187_d087bf9a5f.jpg,"tensor([0.2677, 1.0096, 0.1922,  ..., 0.0267, 0.8086, 0.4868])"
1020651753_06077ec457.jpg,"tensor([0.4927, 0.5987, 0.0537,  ..., 0.4420, 0.1772, 0.5941])"
1022454332_6af2c1449a.jpg,"tensor([0.3440, 0.5122, 0.6224,  ..., 0.3860, 0.8602, 0.8420])"
1022454428_b6b660a67b.jpg,"tensor([0.4915, 0.1216, 0.2691,  ..., 0.3338, 0.1754, 0.1156])"
1022975728_75515238d8.jpg,"tensor([0.3568, 0.0855, 0.0874,  ..., 0.0103, 1.0220, 0.1504])"
102351840_323e3de834.jpg,"tensor([0.1580, 0.1433, 0.1311,  ..., 0.1218, 0.3268, 0.1883])"
1024138940_f1fefbdce1.jpg,"tensor([0.2854, 1.1570, 0.3435,  ..., 0.5126, 0.5683, 0.7285])"
102455176_5f8ead62d5.jpg,"tensor([0.1154, 0.0959, 0.1768,  ..., 0.6642, 0.0610, 0.1465])"
1026685415_0431cbf574.jpg,"tensor([0.2699, 0.3597, 0.2227,  ..., 0.2824, 0.3546, 0.3538])"
1028205764_7e8df9a2ea.jpg,"tensor([0.2440, 0.2332, 0.4067,  ..., 0.1511, 0.3118, 0.3613])"
1030985833_b0902ea560.jpg,"tensor([0.5364, 0.1612, 0.1313,  ..., 0.1567, 0.1245, 0.2020])"
103106960_e8a41d64f8.jpg,"tensor([0.1822, 0.5424, 0.2229,  ..., 0.7710, 1.2279, 0.2217])"
103195344_5d2dc613a3.jpg,"tensor([0.0589, 0.4027, 0.0279,  ..., 0.3958, 0.7104, 0.1299])"
103205630_682ca7285b.jpg,"tensor([0.2977, 0.1848, 0.1334,  ..., 0.1318, 0.0292, 0.3530])"
1032122270_ea6f0beedb.jpg,"tensor([0.3337, 0.4676, 0.4662,  ..., 0.2022, 1.6083, 1.2130])"
1032460886_4a598ed535.jpg,"tensor([0.5563, 0.0646, 0.4203,  ..., 0.3403, 0.2718, 0.1003])"
1034276567_49bb87c51c.jpg,"tensor([0.1470, 0.3153, 0.1402,  ..., 0.2169, 0.2235, 0.1507])"
104136873_5b5d41be75.jpg,"tensor([0.2605, 0.1949, 0.3367,  ..., 0.0332, 0.1757, 0.0861])"
1042020065_fb3d3ba5ba.jpg,"tensor([0.2692, 0.0755, 0.6253,  ..., 0.5333, 0.2536, 0.7783])"
1042590306_95dea0916c.jpg,"tensor([1.1680, 0.9230, 0.9286,  ..., 0.0681, 0.2098, 0.4170])"
1045521051_108ebc19be.jpg,"tensor([0.1856, 0.2217, 1.1342,  ..., 0.2375, 0.3348, 0.4087])"
1048710776_bb5b0a5c7c.jpg,"tensor([0.6364, 0.1598, 0.6687,  ..., 0.1336, 0.2478, 0.1719])"
1052358063_eae6744153.jpg,"tensor([3.7951e-01, 7.9977e-01, 5.2409e-01,  ..., 8.5280e-02, 7.4768e-04,
        7.3324e-02])"
105342180_4d4a40b47f.jpg,"tensor([0.2891, 0.2555, 0.4749,  ..., 0.4878, 0.8009, 0.0190])"
1053804096_ad278b25f1.jpg,"tensor([0.4695, 0.1203, 0.4715,  ..., 0.4324, 0.5525, 0.1134])"
1055623002_8195a43714.jpg,"tensor([5.9718e-01, 2.4030e-01, 7.0965e-01,  ..., 1.0376e-03, 1.7116e+00,
        1.0211e+00])"
1055753357_4fa3d8d693.jpg,"tensor([0.0147, 0.8347, 0.0904,  ..., 0.0171, 0.9017, 0.5984])"
1056249424_ef2a2e041c.jpg,"tensor([0.2910, 0.0945, 0.3623,  ..., 0.2174, 0.2553, 0.5232])"
1056338697_4f7d7ce270.jpg,"tensor([0.4247, 0.4114, 0.1293,  ..., 0.7983, 0.2880, 0.9318])"
1056359656_662cee0814.jpg,"tensor([0.2952, 0.2295, 0.1217,  ..., 0.4232, 0.2185, 0.1531])"
1056873310_49c665eb22.jpg,"tensor([0.0487, 0.0566, 0.5206,  ..., 0.6369, 1.4278, 0.6276])"
1057089366_ca83da0877.jpg,"tensor([0.4141, 0.1643, 0.3790,  ..., 0.0377, 0.1640, 0.2382])"
1057210460_09c6f4c6c1.jpg,"tensor([0.0703, 0.1466, 0.6776,  ..., 0.0091, 0.9917, 0.0334])"
1057251835_6ded4ada9c.jpg,"tensor([0.1065, 0.4016, 0.1456,  ..., 0.0412, 1.1966, 0.2877])"
106490881_5a2dd9b7bd.jpg,"tensor([0.3781, 0.1731, 0.0999,  ..., 0.3252, 0.9487, 0.2111])"
106514190_bae200f463.jpg,"tensor([0.1130, 0.2655, 0.1479,  ..., 0.4837, 0.5905, 0.6857])"
1067180831_a59dc64344.jpg,"tensor([0.1689, 0.5995, 0.0242,  ..., 0.0591, 0.1574, 0.2150])"
