image,image features
1000268201_693b08cb0e.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.6880, 0.0000, 0.0162])"
1001773457_577c3a7d70.jpg,"tensor([6.7536e-03, 5.2175e-02, 0.0000e+00,  ..., 6.5209e-01, 0.0000e+00,
        6.4341e-04])"
1002674143_1b742ab4b8.jpg,"tensor([0.0000, 0.0000, 0.1859,  ..., 0.1103, 0.1495, 0.0916])"
1003163366_44323f5815.jpg,"tensor([0.0197, 0.0000, 0.0172,  ..., 0.5959, 0.0130, 0.0000])"
1007129816_e794419615.jpg,"tensor([0.0177, 0.0000, 0.0835,  ..., 0.1640, 0.4436, 0.0042])"
1007320043_627395c3d8.jpg,"tensor([0.0000, 0.0253, 0.0032,  ..., 1.0304, 0.9057, 0.0626])"
1009434119_febe49276a.jpg,"tensor([0., 0., 0.,  ..., 0., 0., 0.])"
1012212859_01547e3f17.jpg,"tensor([0.0355, 0.0000, 0.0000,  ..., 0.3871, 0.0854, 0.3595])"
1015118661_980735411b.jpg,"tensor([0.3176, 0.0000, 0.0954,  ..., 1.1242, 0.1925, 0.0556])"
1015584366_dfcec3c85a.jpg,"tensor([0.0166, 0.0000, 0.0000,  ..., 0.0043, 0.0000, 0.0000])"
101654506_8eb26cfb60.jpg,"tensor([0.0752, 0.0000, 0.1265,  ..., 0.1093, 0.0318, 0.0106])"
101669240_b2d3e7f17b.jpg,"tensor([0.0000, 0.0009, 0.7633,  ..., 0.0000, 0.0088, 0.0000])"
1016887272_03199f49c4.jpg,"tensor([0.0300, 0.0039, 0.0000,  ..., 0.1259, 0.3507, 0.0000])"
1019077836_6fc9b15408.jpg,"tensor([0.0238, 0.2913, 0.0000,  ..., 0.0791, 0.0207, 0.0179])"
1019604187_d087bf9a5f.jpg,"tensor([0.0628, 0.0000, 0.0000,  ..., 0.0000, 0.0411, 0.1019])"
1020651753_06077ec457.jpg,"tensor([0.0000, 0.0104, 0.0075,  ..., 0.0000, 0.0000, 0.0000])"
1022454332_6af2c1449a.jpg,"tensor([0.0000, 0.0000, 0.1477,  ..., 1.6502, 0.0111, 0.0049])"
1022454428_b6b660a67b.jpg,"tensor([0.0330, 0.0000, 0.0570,  ..., 2.2560, 0.0000, 0.0000])"
1022975728_75515238d8.jpg,"tensor([0.0000, 0.0000, 0.0776,  ..., 0.2399, 0.0000, 0.1114])"
102351840_323e3de834.jpg,"tensor([0.0110, 0.0000, 1.3593,  ..., 0.6725, 0.0131, 0.1157])"
1024138940_f1fefbdce1.jpg,"tensor([0.4669, 0.0000, 0.0000,  ..., 0.3204, 0.0000, 0.0000])"
102455176_5f8ead62d5.jpg,"tensor([0.0148, 0.0029, 0.2651,  ..., 0.0229, 0.0033, 0.0000])"
1026685415_0431cbf574.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0017, 0.0129, 0.0000])"
1028205764_7e8df9a2ea.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.3731, 0.0158, 0.0008])"
1030985833_b0902ea560.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.6719, 0.0000, 0.0000])"
103106960_e8a41d64f8.jpg,"tensor([4.1586e-02, 0.0000e+00, 7.0942e+00,  ..., 1.6420e+00, 1.8123e-03,
        1.4726e-01])"
103195344_5d2dc613a3.jpg,"tensor([0.0000, 0.0000, 0.0019,  ..., 0.1636, 0.0088, 0.0251])"
103205630_682ca7285b.jpg,"tensor([0.0129, 0.0338, 0.2240,  ..., 0.0000, 0.1849, 0.0801])"
1032122270_ea6f0beedb.jpg,"tensor([0.0000, 0.0036, 0.0000,  ..., 1.1415, 0.0000, 0.0022])"
1032460886_4a598ed535.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.5993, 0.0000, 0.0000])"
1034276567_49bb87c51c.jpg,"tensor([0.0000, 0.0326, 0.0939,  ..., 2.1240, 0.0034, 0.0000])"
104136873_5b5d41be75.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 0.0084, 0.0000])"
1042020065_fb3d3ba5ba.jpg,"tensor([0.0000, 0.3601, 1.1969,  ..., 1.0984, 0.0356, 0.1562])"
1042590306_95dea0916c.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 1.8070, 0.0043, 0.0000])"
1045521051_108ebc19be.jpg,"tensor([0.0000e+00, 0.0000e+00, 0.0000e+00,  ..., 0.0000e+00, 3.5223e-03,
        5.2049e+00])"
1048710776_bb5b0a5c7c.jpg,"tensor([0.0032, 0.0000, 0.0000,  ..., 0.4637, 0.0000, 0.0500])"
1052358063_eae6744153.jpg,"tensor([3.9767e-04, 0.0000e+00, 1.3777e+00,  ..., 7.9317e-01, 2.6220e-01,
        0.0000e+00])"
105342180_4d4a40b47f.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.4935, 0.0000, 0.0000])"
1053804096_ad278b25f1.jpg,"tensor([6.7806e-05, 1.3142e-02, 0.0000e+00,  ..., 1.4822e+00, 4.5740e-02,
        1.3708e-02])"
1055623002_8195a43714.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 1.8380, 0.0089, 0.7056])"
1055753357_4fa3d8d693.jpg,"tensor([0.0000, 0.0000, 0.0601,  ..., 0.0000, 0.0042, 0.2226])"
1056249424_ef2a2e041c.jpg,"tensor([0.2495, 0.0000, 0.0955,  ..., 0.5200, 0.0652, 0.0565])"
1056338697_4f7d7ce270.jpg,"tensor([0.0000, 0.0000, 0.0105,  ..., 0.2840, 0.0642, 0.1294])"
1056359656_662cee0814.jpg,"tensor([0.0000, 0.0073, 0.0399,  ..., 1.9437, 0.2493, 0.2285])"
1056873310_49c665eb22.jpg,"tensor([0.0000, 0.4889, 0.0000,  ..., 0.0368, 0.0000, 0.0000])"
1057089366_ca83da0877.jpg,"tensor([0.0000, 0.0000, 0.0024,  ..., 0.2545, 0.0940, 0.0000])"
1057210460_09c6f4c6c1.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.1616, 0.0000, 0.0000])"
1057251835_6ded4ada9c.jpg,"tensor([0.0039, 0.0000, 0.0000,  ..., 0.3759, 0.0000, 0.0000])"
106490881_5a2dd9b7bd.jpg,"tensor([6.4419e-03, 0.0000e+00, 5.0244e-02,  ..., 4.5334e+00, 2.8457e-03,
        1.7705e-02])"
106514190_bae200f463.jpg,"tensor([0.0000, 0.0156, 0.0040,  ..., 0.1380, 0.0000, 0.0121])"
1067180831_a59dc64344.jpg,"tensor([0.0000, 0.0746, 0.0000,  ..., 0.0000, 0.0000, 0.0982])"
1067675215_7336a694d6.jpg,"tensor([0.0574, 0.0122, 0.0156,  ..., 0.2104, 0.1311, 0.0000])"
1067790824_f3cc97239b.jpg,"tensor([0.0000, 0.0449, 0.0000,  ..., 1.1018, 0.0000, 0.0000])"
1072153132_53d2bb1b60.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 0.0000, 0.0760])"
107318069_e9f2ef32de.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 0.0210, 0.0318])"
1075716537_62105738b4.jpg,"tensor([0.0456, 0.0000, 0.0473,  ..., 0.0202, 0.0000, 0.0000])"
107582366_d86f2d3347.jpg,"tensor([0.0000, 0.0000, 0.0000,  ..., 0.0000, 0.0181, 0.0119])"
1075867198_27ca2e7efe.jpg,"tensor([0.0000, 0.0031, 0.0293,  ..., 1.2746, 0.0000, 0.0292])"
1075881101_d55c46bece.jpg,"tensor([0.1578, 0.0000, 0.0375,  ..., 1.9710, 0.3243, 0.3146])"
1077546505_a4f6c4daa9.jpg,"tensor([0.0524, 0.0000, 0.1075,  ..., 2.1597, 0.1168, 0.2530])"
1077931201_1e0bb83105.jpg,"tensor([0.0000, 0.0000, 0.0054,  ..., 1.5070, 0.2015, 0.6923])"
1079274291_9aaf896cc1.jpg,"tensor([0.0000, 0.0274, 0.0000,  ..., 3.8485, 0.1507, 0.0612])"
10815824_2997e03d76.jpg,"tensor([0.0000, 0.2533, 0.0000,  ..., 0.0000, 0.0043, 0.2171])"
1082252566_8c79beef93.jpg,"tensor([0.0200, 0.1229, 0.0000,  ..., 0.1229, 0.0000, 0.0000])"
1082379191_ec1e53f996.jpg,"tensor([0.1207, 0.0504, 0.0000,  ..., 1.7831, 0.0223, 0.0865])"
